,FIPS,state,county,year,commodity,harvested_area_acre,FIPS_ST,production_bushel&tons,is_chesapeake,harvested_area,conv_factor_production_kg,production_kg,average_yield_raw,average_yield,yield_nitrogen_content,yield_nitrogen,residue_ratio,residue_nitrogen_content,dry_matter,residue_nitrogen,domestic_crop_nitrogen_area,domestic_crop_nitrogen,fertilizer_nitrogen_application_rate,fertilizer_nitrogen_application_area,fertilizer_nitrogen,biological_nitrogen_fixation_rate,biological_nitrogen_fixation_area,biological_nitrogen_fixation,total_new_input_nitrogen,crop_processing_ratio,domestic_crop_processing_nitrogen,nitrogen_waste2,nitrogen_recycling_rate1,nitrogen_recycling1,nitrogen_loss2,export_crop_processing_nitrogen,import_crop_processing_nitrogen,selfloop_crop_processing_nitrogen,processed_crop_nitrogen,diet_composition_broiler_ratio,diet_composition_layer_ratio,diet_composition_pig_ratio,diet_composition_cowbeef_ratio,diet_composition_cowmilk_ratio,nitrogen_content_diet_broiler,nitrogen_content_diet_layer,nitrogen_content_diet_pig,nitrogen_content_diet_cowbeef,nitrogen_content_diet_cowmilk,feed-crop_ratio,feed_nitrogen,recycled_nitrogen_crop_share,nitrogen_recycling1_total,nitrogen_recycling1_from_crop,nitrogen_recycling2_total,nitrogen_recycling2_from_manure,recycled_manure_appl_rate,limit_recycled_manure_appl_rate,nitrogen_recycling2_from_manure_limit,excess_recycled_nitrogen_manure,total_recycled_nitrogen_input,total_nitrogen_input,nitrogen_loss1,category,nitrogen_in_harvest,nue
0,10001,DELAWARE,KENT,2017.0,alfalfa_hay,1045.0,10,2869.0,True,422.89687,1000.0,2869000.0,2.7454545454545456,6784.159930055761,2.59,175.7097421884442,0.0,0.0,87.0,0.0,175.7097421884442,74307.1,0.0,0.0,0.0,75.0,230.8240909090909,74307.1,74307.1,1.0,74307.1,0.0,0.0,0.0,0.0,74307.1,2282368.3633943996,0.0,2282368.3633943996,0,0,0,0,40,0.0,0.0,0.0,0.0,103.6,0.9786794408930634,2233706.9937988473,0.0,1320151.5054763635,0.0,1698455.9092969126,0.0,0.0,0.0,0.0,0.0,0.0,74307.1,0.0,6,74307.1,1.0
1,10001,DELAWARE,KENT,2017.0,corn_grain,55961.0,10,9645738.0,True,22646.633246,25.454545454545453,245527876.36363634,172.3653615911081,10841.69437887652,1.2,130.10033254651825,0.845,0.8,84.5,73.28985400120527,203.39018654772352,4606102.960581818,1.0,193.22157034363218,4375818.0387884285,0.0,0.0,0.0,4375818.0387884285,0.6396588486140725,2946334.516363636,1659768.4442181815,0.35,580918.9554763635,1078849.488741818,2881434.697538649,1271261.4248837384,64899.818824986774,1336161.243708725,40,60,40,40,10,48.0,72.0,48.0,48.0,12.0,0.9786794408930634,1307673.5389358352,0.3159371385402977,1320151.5054763635,417084.88907986844,1698455.9092969126,536605.299920126,21.09561408524289,257.6,536605.299920126,0.0,953690.1889999944,4375818.0387884285,723405.2672066055,7,2946334.516363636,0.6733219915102808
2,10001,DELAWARE,KENT,2017.0,corn_silage,721.0,10,12753.0,True,291.77860599999997,1000.0,12753000.0,17.687933425797503,43707.79672585043,0.37,161.7188478856466,0.0,0.0,35.0,0.0,161.7188478856466,47186.100000000006,7.0,138.79721359223302,40498.057498625996,0.0,0.0,0.0,40498.057498625996,1.0,47186.100000000006,0.0,0.0,0.0,0.0,47186.100000000006,421491.1192779344,0.0,421491.1192779344,0,0,0,10,40,0.0,0.0,0.0,3.7,14.8,0.9786794408930634,412504.69295632036,0.009175594276275617,1320151.5054763635,12113.17459746556,1698455.9092969126,15584.34231985125,47.55277822978191,312.8,15584.34231985125,0.0,27697.51691731681,40498.057498625996,21009.474415942794,6,47186.100000000006,1.1651447727239983
3,10001,DELAWARE,KENT,2017.0,other_hay,2530.0,10,8514.0,True,1023.85558,1000.0,8514000.0,3.365217391304348,8315.625920601029,1.65,137.20782768991697,0.0,0.0,87.0,0.0,137.20782768991697,140481.0,50.0,188.6204347826087,193120.0846542,0.0,0.0,0.0,193120.0846542,1.0,140481.0,0.0,0.0,0.0,0.0,140481.0,592125.28112005,0.0,592125.28112005,0,0,0,40,0,0.0,0.0,0.0,66.0,0.0,0.9786794408930634,579500.8390652185,-0.0,1320151.5054763635,-0.0,1698455.9092969126,-0.0,-0.0,0.0,0.0,-0.0,0.0,193120.0846542,52639.08465420001,6,140481.0,0.7274282229709286
4,10001,DELAWARE,KENT,2017.0,soybean,67556.0,10,3603160.0,True,27338.967416,27.27272727272727,98267999.99999999,53.335899105926934,3594.429829946288,4.8,172.53263183742183,0.87,2.0,87.0,62.54307904106541,235.07571087848726,6426727.2,0.0,0.0,0.0,5.3,316.88457735804366,6426727.2,6426727.2,0.7339449541284403,4716864.0,1709863.2000000002,0.35,598452.12,1111411.08,4716864.0,4665977.7329923045,0.0,4665977.7329923045,20,40,20,10,10,96.0,192.0,96.0,48.0,48.0,0.9786794408930634,4566496.478944392,0.0,1320151.5054763635,0.0,1698455.9092969126,0.0,0.0,0.0,0.0,0.0,0.0,6426727.2,0.0,6,4716864.0,0.7339449541284403
5,10001,DELAWARE,KENT,2017.0,wheat_grain,18932.0,10,1489740.0,True,7661.515351999999,27.27272727272727,40629272.72727273,78.68899218254806,5303.033520211725,2.3,121.96977096486965,1.32,0.75,88.0,52.500031850096086,174.46980281496573,1336703.0727272728,1.25,110.26295029579548,844781.2864480499,0.0,0.0,0.0,844781.2864480499,0.6990881458966565,934473.2727272727,402229.80000000005,0.35,140780.43,261449.37000000005,913889.3418260241,429693.67524938803,20583.930901248485,450277.6061506365,40,0,40,0,0,92.0,0.0,92.0,0.0,0.0,0.9786794408930634,440677.43583417195,0.6748872671834266,1320151.5054763635,890953.4417990294,1698455.9092969126,1146266.2670569352,133.20229175603515,663.6,1146266.2670569352,0.0,2037219.7088559647,844781.2864480499,1545297.9225767418,7,934473.2727272726,1.1061718431954615
6,10003,DELAWARE,NEW CASTLE,2017.0,alfalfa_hay,555.0,10,2686.0,True,224.60073,1000.0,2686000.0,4.83963963963964,11958.999420883449,2.59,309.7380850008813,0.0,0.0,87.0,0.0,309.7380850008813,69567.4,0.0,0.0,0.0,75.0,406.8927027027027,69567.4,69567.4,1.0,69567.4,0.0,0.0,0.0,0.0,31829.240487917832,1889620.3296450253,37738.15951208217,1927358.4891571074,0,0,0,0,40,0.0,0.0,0.0,0.0,103.6,0.0422428924373396,81417.19734565706,0.0,461746.9643181819,0.0,87161.77968136051,0.0,0.0,0.0,0.0,0.0,0.0,69567.4,0.0,7,69567.4,1.0
7,10003,DELAWARE,NEW CASTLE,2017.0,corn_grain,20112.0,10,3600600.0,True,8139.044832,25.454545454545453,91651636.36363636,179.02744630071598,11260.736149688328,1.2,135.12883379625993,0.845,0.8,84.5,76.1225763718931,211.25141016815303,1719384.698181818,1.0,200.6897673031026,1633423.0134035996,0.0,0.0,0.0,1633423.0134035996,0.6396588486140724,1099819.636363636,619565.061818182,0.35,216847.7716363637,402717.2901818183,937634.8686331763,166964.7046594959,162184.7677304597,329149.4723899556,40,60,40,40,10,48.0,72.0,48.0,48.0,12.0,0.0422428924373396,13904.225757975975,0.3294302419421065,461746.9643181819,152113.4141713719,87161.77968136051,28713.726168535177,3.1409207224929094,257.6,28713.726168535177,0.0,180827.14033990708,1633423.0134035996,94865.45556168864,7,1099819.6363636362,0.673321991510281
8,10003,DELAWARE,NEW CASTLE,2017.0,corn_silage,562.0,10,8445.0,True,227.43353199999999,1000.0,8445000.0,15.026690391459075,37131.72778761577,0.37,137.38739281417836,0.0,0.0,35.0,0.0,137.38739281417836,31246.5,7.0,117.91443950177937,26817.69744969,0.0,0.0,0.0,26817.69744969,1.0,31246.5,0.0,0.0,0.0,0.0,14296.241672187327,787433.5053639594,16950.25832781267,804383.763691772,0,0,0,10,40,0.0,0.0,0.0,3.7,14.8,0.0422428924373396,33979.49680797392,0.01697246278300177,461746.9643181819,7836.98316705439,87161.77968136051,1479.3500617420912,5.7910500637590765,312.8,1479.3500617420912,0.0,9316.33322879648,26817.69744969,4887.530678486481,7,31246.5,1.165144772723998
9,10003,DELAWARE,NEW CASTLE,2017.0,other_hay,3804.0,10,11792.0,True,1539.425544,1000.0,11792000.0,3.0998948475289168,7660.000216288473,1.65,126.39000356875981,0.0,0.0,87.0,0.0,126.39000356875981,194568.0,50.0,173.74910620399578,267473.8123376,0.0,0.0,0.0,267473.8123376,1.0,194568.0,0.0,0.0,0.0,0.0,89020.88712893105,1348859.901062225,105547.11287106894,1454407.013933294,0,0,0,40,0,0.0,0.0,0.0,66.0,0.0,0.0422428924373396,61438.35904969642,-0.0,461746.9643181819,-0.0,87161.77968136051,-0.0,-0.0,0.0,0.0,-0.0,0.0,267473.8123376,72905.81233759999,7,194568.0,0.7274282229709286
